index,FID,PROJECT,GEOGRAPHIC REGION,SITE TYPE,ASSESSMENT TYPE,SITE ID,DATE COLLECTED,TIME COLLECTED,LATITUDE,LONGITUDE,NORTHING,EASTING,DEPTH,URL LINK,CORAL REEF,PAVEMENT,RHODOLITH,SAND,HARD CORAL,SOFT CORAL,MACROALGAE,SPONGE,SEAGRASS,ARTIFICIAL,UNKNOWN,NOTES
745,745,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_091,9/17/2016,7:12:44,18.25918185,-64.76129701,2067907.744,-7209194.606,-45.22206879,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_091.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
746,746,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_092,9/17/2016,11:02:24,18.20623883,-64.73969352,2061702.617,-7206789.717,-52.5897789,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_092.mp4,Absent,Present,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
747,747,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_094,8/23/2016,13:31:40,18.18374434,-65.17260417,2059066.746,-7254981.11,-37.85372162,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_094.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
748,748,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_095,8/29/2016,13:16:56,18.22474109,-64.94800457,2063870.938,-7229978.797,-43.39652634,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_095.mp4,Absent,Absent,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
749,749,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_097,8/25/2016,11:38:11,18.22205067,-65.12939207,2063555.628,-7250170.761,-35.84222031,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_097.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
750,750,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_098,8/29/2016,13:05:57,18.2292157,-64.94132905,2064395.363,-7229235.681,-42.91796494,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_098.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
751,751,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_099,8/26/2016,8:22:24,18.1926976,-64.92106666,2060115.835,-7226980.082,-56.1519165,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_099.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
752,752,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_100,8/29/2016,14:21:39,18.22994839,-64.98639903,2064481.236,-7234252.849,-41.57643127,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_100.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
753,753,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_102,8/21/2016,13:14:10,18.13980891,-65.25825323,2053919.438,-7264515.52,-32.83680725,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_102.mp4,Absent,Absent,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
754,754,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_103,9/16/2016,12:11:18,18.20101814,-64.79565505,2061090.834,-7213019.326,-54.14231873,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_103.mp4,Absent,Present,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
755,755,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_104,8/28/2016,11:03:47,18.20013387,-64.90623445,2060987.213,-7225328.968,-50.25473785,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_104.mp4,Present,Present,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Great Barracuda
756,756,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_105,8/29/2016,12:21:11,18.2550998,-64.92960778,2067429.245,-7227930.876,-39.35630417,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_105.mp4,Absent,Absent,Absent,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
757,757,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_106,8/21/2016,12:05:07,18.12239759,-65.22610295,2051879.952,-7260936.567,-48.99835968,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_106.mp4,Absent,Present,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
758,758,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_107,9/11/2016,9:06:46,18.27313364,-64.71216443,2069543.263,-7203725.192,-29.57411575,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_107.mp4,Absent,Present,Present,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
759,759,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_108,9/9/2016,14:17:19,18.25631758,-64.83511912,2067571.992,-7217412.446,-37.23793411,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_108.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
760,760,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_109,8/28/2016,14:19:22,18.25657325,-64.91127712,2067601.962,-7225890.316,-38.77623367,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_109.mp4,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
761,761,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_111,9/12/2016,13:50:10,18.25694324,-64.68825305,2067645.332,-7201063.39,-48.58011246,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_111.mp4,Absent,Absent,Present,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
762,762,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_112,9/13/2016,11:58:19,18.21792259,-64.80068114,2063071.836,-7213578.828,-52.54598618,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_112.mp4,Absent,Present,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
763,763,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_113,8/25/2016,13:54:44,18.23762582,-65.07340069,2065381.066,-7243937.829,-31.33110809,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_113.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
764,764,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_114,8/26/2016,10:12:38,18.19644756,-64.97765547,2060555.248,-7233279.52,-51.76031876,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_114.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
765,765,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_115,8/22/2016,9:33:26,18.18014503,-65.22168123,2058645.016,-7260444.343,-39.22076797,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_115.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
766,766,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_116,9/13/2016,13:35:02,18.24275087,-64.79991898,2065981.767,-7213493.984,-46.68661499,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_116.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
767,767,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_117,9/12/2016,8:58:58,18.27593811,-64.68600273,2069872.037,-7200812.885,-44.19260788,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_117.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
768,768,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_118,8/21/2016,8:00:48,18.16184473,-65.21138264,2056500.909,-7259297.909,-36.94882584,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_118.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
769,769,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_120,8/30/2016,11:36:45,18.27287908,-64.95906027,2069513.42,-7231209.512,-33.50501251,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_120.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent,spur and groove
770,770,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_121,8/25/2016,13:48:33,18.23570439,-65.08259661,2065155.861,-7244961.514,-32.3135376,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_121.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
771,771,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_122,8/26/2016,11:09:06,18.20216038,-65.02266991,2061224.685,-7238290.504,-43.3323555,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_122.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
772,772,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_123,8/29/2016,12:11:10,18.26503492,-64.92337131,2068593.863,-7227236.635,-33.55007172,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_123.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
773,773,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_124,8/23/2016,10:02:16,18.19237598,-65.1669612,2060078.148,-7254352.937,-43.19078064,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_124.mp4,Present,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent, 
774,774,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_125,8/23/2016,10:14:20,18.19505944,-65.16015001,2060392.59,-7253594.719,-41.68323517,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_125.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
775,775,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_126,8/21/2016,7:37:02,18.16079625,-65.18539084,2056378.074,-7256404.515,-42.38228607,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_126.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Coral Bleaching
776,776,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_127,9/17/2016,11:46:44,18.2133457,-64.76197205,2062535.46,-7209269.751,-51.12939453,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_127.mp4,Absent,Present,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
777,777,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_128,8/25/2016,10:15:13,18.23363645,-65.18827592,2064913.488,-7256725.681,-31.64611244,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_128.mp4,Present,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent, 
778,778,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_129,8/27/2016,8:35:53,18.19528694,-65.09600727,2060419.248,-7246454.382,-43.48381805,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_129.mp4,Present,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent, 
779,779,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_130,8/29/2016,9:28:06,18.22950588,-64.86714379,2064429.373,-7220977.416,-42.50014877,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_130.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
780,780,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_131,8/28/2016,14:01:24,18.25378144,-64.91806199,2067274.708,-7226645.604,-39.92046356,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_131.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
781,781,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_132,9/17/2016,10:21:55,18.21392775,-64.72970579,2062603.671,-7205677.888,-51.74375534,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_132.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
782,782,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_133,8/29/2016,10:17:46,18.24353155,-64.87331495,2066073.271,-7221664.386,-41.74182892,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_133.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
783,783,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_134,9/11/2016,10:15:17,18.29000774,-64.67661037,2071521.529,-7199767.333,-32.01759338,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_134.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
784,784,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_135,9/1/2016,11:57:48,18.30490257,-64.76756893,2073267.912,-7209892.793,-23.30144119,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_135.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
785,785,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_136,8/22/2016,11:02:20,18.20066774,-65.20701791,2061049.773,-7258812.03,-35.12815094,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_136.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
786,786,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_137,9/16/2016,10:08:12,18.2086465,-64.81748544,2061984.764,-7215449.474,-54.66120148,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_137.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
787,787,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_138,8/23/2016,13:46:47,18.17587845,-65.18043173,2058145.113,-7255852.47,-40.64048386,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_138.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
788,788,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_139,8/22/2016,9:48:38,18.17250866,-65.21831653,2057750.293,-7260069.787,-40.50871277,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_139.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
789,789,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_140,9/13/2016,11:10:19,18.23333434,-64.7834089,2064878.08,-7211656.091,-53.25987244,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_140.mp4,Absent,Absent,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
790,790,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_141,9/11/2016,10:50:39,18.27592161,-64.7278662,2069870.102,-7205473.105,-35.92647934,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_141.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
791,791,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_142,8/29/2016,11:07:20,18.23277916,-64.88471856,2064813.01,-7222933.83,-43.35272598,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_142.mp4,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
792,792,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_143,9/2/2016,11:06:52,18.30414949,-64.72942532,2073179.612,-7205646.666,-25.30332184,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_143.mp4,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent, 
793,793,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_144,8/22/2016,9:14:52,18.17399763,-65.23156152,2057924.747,-7261544.212,-36.34614944,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_144.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
794,794,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_145,8/20/2016,13:04:20,18.27985728,-65.10956014,2070331.498,-7247963.081,-27.97838402,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_145.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
795,795,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_146,8/23/2016,9:20:03,18.19318109,-65.19352866,2060172.489,-7257310.413,-37.68210983,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_146.mp4,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,amazing site
796,796,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_147,8/21/2016,13:54:25,18.1738617,-65.25034403,2057908.821,-7263635.071,-30.30371284,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_147.mp4,Absent,Present,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
797,797,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_148,9/9/2016,13:48:48,18.22390567,-64.83692804,2063773.029,-7217613.814,-39.05056,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_148.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
798,798,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_149,9/12/2016,13:17:49,18.24101189,-64.67176126,2065777.941,-7199227.532,-51.70069885,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_149.mp4,Absent,Present,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
799,799,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_150,8/27/2016,12:58:19,18.25122559,-65.00090877,2066975.119,-7235868.065,-38.88821411,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_150.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
800,800,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_151,9/12/2016,8:52:37,18.2703575,-64.68713325,2069217.815,-7200938.734,-46.51328278,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_151.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
801,801,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_153,8/31/2016,12:00:43,18.27475034,-64.80828218,2069732.791,-7214424.972,-34.46123505,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_153.mp4,Absent,Present,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
802,802,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_154,8/26/2016,14:35:38,18.21172192,-65.12555695,2062345.168,-7249743.837,-40.97025299,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_154.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
803,803,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_155,8/28/2016,13:51:33,18.24377139,-64.91559427,2066101.383,-7226370.899,-41.49586487,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_155.mp4,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
804,804,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_156,8/26/2016,12:14:08,18.22592279,-65.0348574,2064009.433,-7239647.21,-41.71038818,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_156.mp4,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
805,805,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_157,9/11/2016,12:35:24,18.2941644,-64.77379783,2072008.872,-7210586.191,-30.11424446,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_157.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent, 
806,806,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_158,8/21/2016,12:52:20,18.15380542,-65.23949929,2055559.076,-7262427.841,-35.03399658,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_158.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,derelict trap
807,807,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,GV,HD Seaviewer Drop Camera,GV2016_159,8/25/2016,11:25:08,18.21233892,-65.13761172,2062417.475,-7251085.768,-40.66737366,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_159.mp4,Present,Absent,Present,Present,Present,Absent,Present,Present,Absent,Absent,Absent, 
808,808,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. John, USVI",GV,HD Seaviewer Drop Camera,GV2016_160,9/2/2016,11:18:43,18.29583875,-64.71959364,2072205.183,-7204552.208,-28.8511467,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_160.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
809,809,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",GV,HD Seaviewer Drop Camera,GV2016_161,8/27/2016,10:45:45,18.25493584,-65.03837381,2067410.025,-7240038.655,-32.82978821,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/GV2016_161.mp4,Present,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent, 
