Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly ($),Married Filing Separately (Rates/Brackets),,Married Filing Separately ($),Single Filer (Rates/Brackets),,Single Filer ($),Head of Household (Rates/Brackets),,Head of Household ($),Notes:
1947,38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",
1947,43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",
1947,47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",
1947,50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",
1947,53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",
1947,56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",
1947,59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",
1947,62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",
1947,65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",
1947,69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",
1947,72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",
1947,75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",
1947,78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",
1947,81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",
1947,84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",
1947,87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",
1947,89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",
1947,90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",
1947,91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",
,,,,,,,,,,,,,
1946,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,"Tax rates include normal tax of 3 percent plus applicable surtax. Tax liability according to these rates was reduced by 5 percent, and the maximum effective tax rate on net income was 85.5 percent. Last law to change rates was the Internal Revenue Code of 1945."
1946,22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",
1946,26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",
1946,30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",
1946,34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",
1946,38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",
1946,43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",
1946,47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",
1946,50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",
1946,53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",
1946,56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",
1946,59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",
1946,62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",
1946,65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",
1946,69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",
1946,72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",
1946,75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",
1946,78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",
1946,81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",
1946,84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",
1946,87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",
1946,89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",
1946,90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",
1946,91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",
,,,,,,,,,,,,,
1945,23.00%,>,$0 ,23.00%,>,$0 ,23.00%,>,$0 ,23.00%,>,$0 ,"Tax rates include normal tax of 3 percent plus applicable surtax, and the maximum effective tax rate on net income was 87.2 percent. Last law to change rates was the Revenue Act Code of 1945."
1945,25.00%,>,"$2,000 ",25.00%,>,"$2,000 ",25.00%,>,"$2,000 ",25.00%,>,"$2,000 ",
1945,29.00%,>,"$4,000 ",29.00%,>,"$4,000 ",29.00%,>,"$4,000 ",29.00%,>,"$4,000 ",
1945,33.00%,>,"$6,000 ",33.00%,>,"$6,000 ",33.00%,>,"$6,000 ",33.00%,>,"$6,000 ",
1945,37.00%,>,"$8,000 ",37.00%,>,"$8,000 ",37.00%,>,"$8,000 ",37.00%,>,"$8,000 ",
1945,41.00%,>,"$10,000 ",41.00%,>,"$10,000 ",41.00%,>,"$10,000 ",41.00%,>,"$10,000 ",
1945,46.00%,>,"$12,000 ",46.00%,>,"$12,000 ",46.00%,>,"$12,000 ",46.00%,>,"$12,000 ",
1945,50.00%,>,"$14,000 ",50.00%,>,"$14,000 ",50.00%,>,"$14,000 ",50.00%,>,"$14,000 ",
1945,53.00%,>,"$16,000 ",53.00%,>,"$16,000 ",53.00%,>,"$16,000 ",53.00%,>,"$16,000 ",
1945,56.00%,>,"$18,000 ",56.00%,>,"$18,000 ",56.00%,>,"$18,000 ",56.00%,>,"$18,000 ",
1945,59.00%,>,"$20,000 ",59.00%,>,"$20,000 ",59.00%,>,"$20,000 ",59.00%,>,"$20,000 ",
1945,62.00%,>,"$22,000 ",62.00%,>,"$22,000 ",62.00%,>,"$22,000 ",62.00%,>,"$22,000 ",
1945,65.00%,>,"$26,000 ",65.00%,>,"$26,000 ",65.00%,>,"$26,000 ",65.00%,>,"$26,000 ",
1945,68.00%,>,"$32,000 ",68.00%,>,"$32,000 ",68.00%,>,"$32,000 ",68.00%,>,"$32,000 ",
1945,72.00%,>,"$38,000 ",72.00%,>,"$38,000 ",72.00%,>,"$38,000 ",72.00%,>,"$38,000 ",
1945,75.00%,>,"$44,000 ",75.00%,>,"$44,000 ",75.00%,>,"$44,000 ",75.00%,>,"$44,000 ",
1945,78.00%,>,"$50,000 ",78.00%,>,"$50,000 ",78.00%,>,"$50,000 ",78.00%,>,"$50,000 ",
1945,81.00%,>,"$60,000 ",81.00%,>,"$60,000 ",81.00%,>,"$60,000 ",81.00%,>,"$60,000 ",
1945,84.00%,>,"$70,000 ",84.00%,>,"$70,000 ",84.00%,>,"$70,000 ",84.00%,>,"$70,000 ",
1945,87.00%,>,"$80,000 ",87.00%,>,"$80,000 ",87.00%,>,"$80,000 ",87.00%,>,"$80,000 ",
1945,90.00%,>,"$90,000 ",90.00%,>,"$90,000 ",90.00%,>,"$90,000 ",90.00%,>,"$90,000 ",
1945,92.00%,>,"$100,000 ",92.00%,>,"$100,000 ",92.00%,>,"$100,000 ",92.00%,>,"$100,000 ",
1945,93.00%,>,"$150,000 ",93.00%,>,"$150,000 ",93.00%,>,"$150,000 ",93.00%,>,"$150,000 ",
1945,94.00%,>,"$200,000 ",94.00%,>,"$200,000 ",94.00%,>,"$200,000 ",94.00%,>,"$200,000 ",
,,,,,,,,,,,,,
1944,23.00%,>,$0 ,23.00%,>,$0 ,23.00%,>,$0 ,23.00%,>,$0 ,Tax rates include normal tax of 3 percent plus applicable surtax. The maximum effective tax rate on net income was 90 percent. Last law to change rates was the Individual Income Tax Act of 1944.
1944,25.00%,>,"$2,000 ",25.00%,>,"$2,000 ",25.00%,>,"$2,000 ",25.00%,>,"$2,000 ",
1944,29.00%,>,"$4,000 ",29.00%,>,"$4,000 ",29.00%,>,"$4,000 ",29.00%,>,"$4,000 ",
1944,33.00%,>,"$6,000 ",33.00%,>,"$6,000 ",33.00%,>,"$6,000 ",33.00%,>,"$6,000 ",
1944,37.00%,>,"$8,000 ",37.00%,>,"$8,000 ",37.00%,>,"$8,000 ",37.00%,>,"$8,000 ",
1944,41.00%,>,"$10,000 ",41.00%,>,"$10,000 ",41.00%,>,"$10,000 ",41.00%,>,"$10,000 ",
1944,46.00%,>,"$12,000 ",46.00%,>,"$12,000 ",46.00%,>,"$12,000 ",46.00%,>,"$12,000 ",
1944,50.00%,>,"$14,000 ",50.00%,>,"$14,000 ",50.00%,>,"$14,000 ",50.00%,>,"$14,000 ",
1944,53.00%,>,"$16,000 ",53.00%,>,"$16,000 ",53.00%,>,"$16,000 ",53.00%,>,"$16,000 ",
1944,56.00%,>,"$18,000 ",56.00%,>,"$18,000 ",56.00%,>,"$18,000 ",56.00%,>,"$18,000 ",
1944,59.00%,>,"$20,000 ",59.00%,>,"$20,000 ",59.00%,>,"$20,000 ",59.00%,>,"$20,000 ",
1944,62.00%,>,"$22,000 ",62.00%,>,"$22,000 ",62.00%,>,"$22,000 ",62.00%,>,"$22,000 ",
1944,65.00%,>,"$26,000 ",65.00%,>,"$26,000 ",65.00%,>,"$26,000 ",65.00%,>,"$26,000 ",
1944,68.00%,>,"$32,000 ",68.00%,>,"$32,000 ",68.00%,>,"$32,000 ",68.00%,>,"$32,000 ",
1944,72.00%,>,"$38,000 ",72.00%,>,"$38,000 ",72.00%,>,"$38,000 ",72.00%,>,"$38,000 ",
1944,75.00%,>,"$44,000 ",75.00%,>,"$44,000 ",75.00%,>,"$44,000 ",75.00%,>,"$44,000 ",
1944,78.00%,>,"$50,000 ",78.00%,>,"$50,000 ",78.00%,>,"$50,000 ",78.00%,>,"$50,000 ",
1944,81.00%,>,"$60,000 ",81.00%,>,"$60,000 ",81.00%,>,"$60,000 ",81.00%,>,"$60,000 ",
1944,84.00%,>,"$70,000 ",84.00%,>,"$70,000 ",84.00%,>,"$70,000 ",84.00%,>,"$70,000 ",
1944,87.00%,>,"$80,000 ",87.00%,>,"$80,000 ",87.00%,>,"$80,000 ",87.00%,>,"$80,000 ",
1944,90.00%,>,"$90,000 ",90.00%,>,"$90,000 ",90.00%,>,"$90,000 ",90.00%,>,"$90,000 ",
1944,92.00%,>,"$100,000 ",92.00%,>,"$100,000 ",92.00%,>,"$100,000 ",92.00%,>,"$100,000 ",
1944,93.00%,>,"$150,000 ",93.00%,>,"$150,000 ",93.00%,>,"$150,000 ",93.00%,>,"$150,000 ",
1944,94.00%,>,"$200,000 ",94.00%,>,"$200,000 ",94.00%,>,"$200,000 ",94.00%,>,"$200,000 ",
,,,,,,,,,,,,,
1943,19.00%,>,$0 ,19.00%,>,$0 ,19.00%,>,$0 ,19.00%,>,$0 ,"Tax rates include normal tax of 6 percent plus applicable surtax. Victory tax of 5 percent of income in excess of $624 less credits of 25 percent of the tax for single persons, 40 percent for married persons or heads of household, and 2 percent for each dependent. Last law to change rates was the Revenue Act of 1942."
1943,22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",
1943,26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",
1943,30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",
1943,34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",
1943,38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",
1943,42.00%,>,"$12,000 ",42.00%,>,"$12,000 ",42.00%,>,"$12,000 ",42.00%,>,"$12,000 ",
1943,46.00%,>,"$14,000 ",46.00%,>,"$14,000 ",46.00%,>,"$14,000 ",46.00%,>,"$14,000 ",
1943,49.00%,>,"$16,000 ",49.00%,>,"$16,000 ",49.00%,>,"$16,000 ",49.00%,>,"$16,000 ",
1943,52.00%,>,"$18,000 ",52.00%,>,"$18,000 ",52.00%,>,"$18,000 ",52.00%,>,"$18,000 ",
1943,55.00%,>,"$20,000 ",55.00%,>,"$20,000 ",55.00%,>,"$20,000 ",55.00%,>,"$20,000 ",
1943,58.00%,>,"$22,000 ",58.00%,>,"$22,000 ",58.00%,>,"$22,000 ",58.00%,>,"$22,000 ",
1943,61.00%,>,"$26,000 ",61.00%,>,"$26,000 ",61.00%,>,"$26,000 ",61.00%,>,"$26,000 ",
1943,64.00%,>,"$32,000 ",64.00%,>,"$32,000 ",64.00%,>,"$32,000 ",64.00%,>,"$32,000 ",
1943,67.00%,>,"$38,000 ",67.00%,>,"$38,000 ",67.00%,>,"$38,000 ",67.00%,>,"$38,000 ",
1943,69.00%,>,"$44,000 ",69.00%,>,"$44,000 ",69.00%,>,"$44,000 ",69.00%,>,"$44,000 ",
1943,72.00%,>,"$50,000 ",72.00%,>,"$50,000 ",72.00%,>,"$50,000 ",72.00%,>,"$50,000 ",
1943,75.00%,>,"$60,000 ",75.00%,>,"$60,000 ",75.00%,>,"$60,000 ",75.00%,>,"$60,000 ",
1943,78.00%,>,"$70,000 ",78.00%,>,"$70,000 ",78.00%,>,"$70,000 ",78.00%,>,"$70,000 ",
1943,81.00%,>,"$80,000 ",81.00%,>,"$80,000 ",81.00%,>,"$80,000 ",81.00%,>,"$80,000 ",
1943,83.00%,>,"$90,000 ",83.00%,>,"$90,000 ",83.00%,>,"$90,000 ",83.00%,>,"$90,000 ",
1943,85.00%,>,"$100,000 ",85.00%,>,"$100,000 ",85.00%,>,"$100,000 ",85.00%,>,"$100,000 ",
1943,87.00%,>,"$150,000 ",87.00%,>,"$150,000 ",87.00%,>,"$150,000 ",87.00%,>,"$150,000 ",
1943,88.00%,>,"$200,000 ",88.00%,>,"$200,000 ",88.00%,>,"$200,000 ",88.00%,>,"$200,000 ",
,,,,,,,,,,,,,
1942,19.00%,>,$0 ,19.00%,>,$0 ,19.00%,>,$0 ,19.00%,>,$0 ,Tax rates include normal tax of 6 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1942.
1942,22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",
1942,26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",
1942,30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",
1942,34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",
1942,38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",
1942,42.00%,>,"$12,000 ",42.00%,>,"$12,000 ",42.00%,>,"$12,000 ",42.00%,>,"$12,000 ",
1942,46.00%,>,"$14,000 ",46.00%,>,"$14,000 ",46.00%,>,"$14,000 ",46.00%,>,"$14,000 ",
1942,49.00%,>,"$16,000 ",49.00%,>,"$16,000 ",49.00%,>,"$16,000 ",49.00%,>,"$16,000 ",
1942,52.00%,>,"$18,000 ",52.00%,>,"$18,000 ",52.00%,>,"$18,000 ",52.00%,>,"$18,000 ",
1942,55.00%,>,"$20,000 ",55.00%,>,"$20,000 ",55.00%,>,"$20,000 ",55.00%,>,"$20,000 ",
1942,58.00%,>,"$22,000 ",58.00%,>,"$22,000 ",58.00%,>,"$22,000 ",58.00%,>,"$22,000 ",
1942,61.00%,>,"$26,000 ",61.00%,>,"$26,000 ",61.00%,>,"$26,000 ",61.00%,>,"$26,000 ",
1942,64.00%,>,"$32,000 ",64.00%,>,"$32,000 ",64.00%,>,"$32,000 ",64.00%,>,"$32,000 ",
1942,67.00%,>,"$38,000 ",67.00%,>,"$38,000 ",67.00%,>,"$38,000 ",67.00%,>,"$38,000 ",
1942,69.00%,>,"$44,000 ",69.00%,>,"$44,000 ",69.00%,>,"$44,000 ",69.00%,>,"$44,000 ",
1942,72.00%,>,"$50,000 ",72.00%,>,"$50,000 ",72.00%,>,"$50,000 ",72.00%,>,"$50,000 ",
1942,75.00%,>,"$60,000 ",75.00%,>,"$60,000 ",75.00%,>,"$60,000 ",75.00%,>,"$60,000 ",
1942,78.00%,>,"$70,000 ",78.00%,>,"$70,000 ",78.00%,>,"$70,000 ",78.00%,>,"$70,000 ",
1942,81.00%,>,"$80,000 ",81.00%,>,"$80,000 ",81.00%,>,"$80,000 ",81.00%,>,"$80,000 ",
1942,83.00%,>,"$90,000 ",83.00%,>,"$90,000 ",83.00%,>,"$90,000 ",83.00%,>,"$90,000 ",
1942,85.00%,>,"$100,000 ",85.00%,>,"$100,000 ",85.00%,>,"$100,000 ",85.00%,>,"$100,000 ",
1942,87.00%,>,"$150,000 ",87.00%,>,"$150,000 ",87.00%,>,"$150,000 ",87.00%,>,"$150,000 ",
1942,88.00%,>,"$200,000 ",88.00%,>,"$200,000 ",88.00%,>,"$200,000 ",88.00%,>,"$200,000 ",
,,,,,,,,,,,,,
1941,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,Tax rates include normal tax of 4 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1941.
1941,13.00%,>,"$2,000 ",13.00%,>,"$2,000 ",13.00%,>,"$2,000 ",13.00%,>,"$2,000 ",
1941,17.00%,>,"$4,000 ",17.00%,>,"$4,000 ",17.00%,>,"$4,000 ",17.00%,>,"$4,000 ",
1941,21.00%,>,"$6,000 ",21.00%,>,"$6,000 ",21.00%,>,"$6,000 ",21.00%,>,"$6,000 ",
1941,25.00%,>,"$8,000 ",25.00%,>,"$8,000 ",25.00%,>,"$8,000 ",25.00%,>,"$8,000 ",
1941,29.00%,>,"$10,000 ",29.00%,>,"$10,000 ",29.00%,>,"$10,000 ",29.00%,>,"$10,000 ",
1941,33.00%,>,"$12,000 ",33.00%,>,"$12,000 ",33.00%,>,"$12,000 ",33.00%,>,"$12,000 ",
1941,36.00%,>,"$14,000 ",36.00%,>,"$14,000 ",36.00%,>,"$14,000 ",36.00%,>,"$14,000 ",
1941,39.00%,>,"$16,000 ",39.00%,>,"$16,000 ",39.00%,>,"$16,000 ",39.00%,>,"$16,000 ",
1941,42.00%,>,"$18,000 ",42.00%,>,"$18,000 ",42.00%,>,"$18,000 ",42.00%,>,"$18,000 ",
1941,45.00%,>,"$20,000 ",45.00%,>,"$20,000 ",45.00%,>,"$20,000 ",45.00%,>,"$20,000 ",
1941,48.00%,>,"$22,000 ",48.00%,>,"$22,000 ",48.00%,>,"$22,000 ",48.00%,>,"$22,000 ",
1941,51.00%,>,"$26,000 ",51.00%,>,"$26,000 ",51.00%,>,"$26,000 ",51.00%,>,"$26,000 ",
1941,54.00%,>,"$32,000 ",54.00%,>,"$32,000 ",54.00%,>,"$32,000 ",54.00%,>,"$32,000 ",
1941,57.00%,>,"$38,000 ",57.00%,>,"$38,000 ",57.00%,>,"$38,000 ",57.00%,>,"$38,000 ",
1941,59.00%,>,"$44,000 ",59.00%,>,"$44,000 ",59.00%,>,"$44,000 ",59.00%,>,"$44,000 ",
1941,61.00%,>,"$50,000 ",61.00%,>,"$50,000 ",61.00%,>,"$50,000 ",61.00%,>,"$50,000 ",
1941,63.00%,>,"$60,000 ",63.00%,>,"$60,000 ",63.00%,>,"$60,000 ",63.00%,>,"$60,000 ",
1941,65.00%,>,"$70,000 ",65.00%,>,"$70,000 ",65.00%,>,"$70,000 ",65.00%,>,"$70,000 ",
1941,67.00%,>,"$80,000 ",67.00%,>,"$80,000 ",67.00%,>,"$80,000 ",67.00%,>,"$80,000 ",
1941,68.00%,>,"$90,000 ",68.00%,>,"$90,000 ",68.00%,>,"$90,000 ",68.00%,>,"$90,000 ",
1941,69.00%,>,"$100,000 ",69.00%,>,"$100,000 ",69.00%,>,"$100,000 ",69.00%,>,"$100,000 ",
1941,70.00%,>,"$150,000 ",70.00%,>,"$150,000 ",70.00%,>,"$150,000 ",70.00%,>,"$150,000 ",
1941,71.00%,>,"$200,000 ",71.00%,>,"$200,000 ",71.00%,>,"$200,000 ",71.00%,>,"$200,000 ",
1941,73.00%,>,"$250,000 ",73.00%,>,"$250,000 ",73.00%,>,"$250,000 ",73.00%,>,"$250,000 ",
1941,75.00%,>,"$300,000 ",75.00%,>,"$300,000 ",75.00%,>,"$300,000 ",75.00%,>,"$300,000 ",
1941,76.00%,>,"$400,000 ",76.00%,>,"$400,000 ",76.00%,>,"$400,000 ",76.00%,>,"$400,000 ",
1941,77.00%,>,"$500,000 ",77.00%,>,"$500,000 ",77.00%,>,"$500,000 ",77.00%,>,"$500,000 ",
1941,78.00%,>,"$750,000 ",78.00%,>,"$750,000 ",78.00%,>,"$750,000 ",78.00%,>,"$750,000 ",
1941,79.00%,>,"$1,000,000 ",79.00%,>,"$1,000,000 ",79.00%,>,"$1,000,000 ",79.00%,>,"$1,000,000 ",
1941,80.00%,>,"$2,000,000 ",80.00%,>,"$2,000,000 ",80.00%,>,"$2,000,000 ",80.00%,>,"$2,000,000 ",
1941,81.00%,>,"$5,000,000 ",81.00%,>,"$5,000,000 ",81.00%,>,"$5,000,000 ",81.00%,>,"$5,000,000 ",
,,,,,,,,,,,,,
1940(A),4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,Tax rates include normal tax of 4 percent plus applicable surtax. Defense tax of 10 percent of normal tax and surtax (limited to 10 percent of excess of net income over sum of normal tax and surtax). Last law to change rates was the Revenue Act of 1940.
1940(A),8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",
1940(A),10.00%,>,"$6,000 ",10.00%,>,"$6,000 ",10.00%,>,"$6,000 ",10.00%,>,"$6,000 ",
1940(A),12.00%,>,"$8,000 ",12.00%,>,"$8,000 ",12.00%,>,"$8,000 ",12.00%,>,"$8,000 ",
1940(A),14.00%,>,"$10,000 ",14.00%,>,"$10,000 ",14.00%,>,"$10,000 ",14.00%,>,"$10,000 ",
1940(A),16.00%,>,"$12,000 ",16.00%,>,"$12,000 ",16.00%,>,"$12,000 ",16.00%,>,"$12,000 ",
1940(A),19.00%,>,"$14,000 ",19.00%,>,"$14,000 ",19.00%,>,"$14,000 ",19.00%,>,"$14,000 ",
1940(A),22.00%,>,"$16,000 ",22.00%,>,"$16,000 ",22.00%,>,"$16,000 ",22.00%,>,"$16,000 ",
1940(A),25.00%,>,"$18,000 ",25.00%,>,"$18,000 ",25.00%,>,"$18,000 ",25.00%,>,"$18,000 ",
1940(A),28.00%,>,"$20,000 ",28.00%,>,"$20,000 ",28.00%,>,"$20,000 ",28.00%,>,"$20,000 ",
1940(A),31.00%,>,"$22,000 ",31.00%,>,"$22,000 ",31.00%,>,"$22,000 ",31.00%,>,"$22,000 ",
1940(A),34.00%,>,"$26,000 ",34.00%,>,"$26,000 ",34.00%,>,"$26,000 ",34.00%,>,"$26,000 ",
1940(A),37.00%,>,"$32,000 ",37.00%,>,"$32,000 ",37.00%,>,"$32,000 ",37.00%,>,"$32,000 ",
1940(A),40.00%,>,"$38,000 ",40.00%,>,"$38,000 ",40.00%,>,"$38,000 ",40.00%,>,"$38,000 ",
1940(A),44.00%,>,"$44,000 ",44.00%,>,"$44,000 ",44.00%,>,"$44,000 ",44.00%,>,"$44,000 ",
1940(A),48.00%,>,"$50,000 ",48.00%,>,"$50,000 ",48.00%,>,"$50,000 ",48.00%,>,"$50,000 ",
1940(A),51.00%,>,"$60,000 ",51.00%,>,"$60,000 ",51.00%,>,"$60,000 ",51.00%,>,"$60,000 ",
1940(A),54.00%,>,"$70,000 ",54.00%,>,"$70,000 ",54.00%,>,"$70,000 ",54.00%,>,"$70,000 ",
1940(A),57.00%,>,"$80,000 ",57.00%,>,"$80,000 ",57.00%,>,"$80,000 ",57.00%,>,"$80,000 ",
1940(A),60.00%,>,"$90,000 ",60.00%,>,"$90,000 ",60.00%,>,"$90,000 ",60.00%,>,"$90,000 ",
1940(A),62.00%,>,"$100,000 ",62.00%,>,"$100,000 ",62.00%,>,"$100,000 ",62.00%,>,"$100,000 ",
1940(A),64.00%,>,"$150,000 ",64.00%,>,"$150,000 ",64.00%,>,"$150,000 ",64.00%,>,"$150,000 ",
1940(A),66.00%,>,"$200,000 ",66.00%,>,"$200,000 ",66.00%,>,"$200,000 ",66.00%,>,"$200,000 ",
1940(A),68.00%,>,"$250,000 ",68.00%,>,"$250,000 ",68.00%,>,"$250,000 ",68.00%,>,"$250,000 ",
1940(A),70.00%,>,"$300,000 ",70.00%,>,"$300,000 ",70.00%,>,"$300,000 ",70.00%,>,"$300,000 ",
1940(A),72.00%,>,"$400,000 ",72.00%,>,"$400,000 ",72.00%,>,"$400,000 ",72.00%,>,"$400,000 ",
1940(A),74.00%,>,"$500,000 ",74.00%,>,"$500,000 ",74.00%,>,"$500,000 ",74.00%,>,"$500,000 ",
1940(A),76.00%,>,"$750,000 ",76.00%,>,"$750,000 ",76.00%,>,"$750,000 ",76.00%,>,"$750,000 ",
1940(A),77.00%,>,"$1,000,000 ",77.00%,>,"$1,000,000 ",77.00%,>,"$1,000,000 ",77.00%,>,"$1,000,000 ",
1940(A),78.00%,>,"$2,000,000 ",78.00%,>,"$2,000,000 ",78.00%,>,"$2,000,000 ",78.00%,>,"$2,000,000 ",
1940(A),79.00%,>,"$5,000,000 ",79.00%,>,"$5,000,000 ",79.00%,>,"$5,000,000 ",79.00%,>,"$5,000,000 ",
,,,,,,,,,,,,,
1939,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,Tax rates include normal tax of 4 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1938.
1939,8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",
1939,9.00%,>,"$6,000 ",9.00%,>,"$6,000 ",9.00%,>,"$6,000 ",9.00%,>,"$6,000 ",
1939,10.00%,>,"$8,000 ",10.00%,>,"$8,000 ",10.00%,>,"$8,000 ",10.00%,>,"$8,000 ",
